subject,accuracy,f1
JG,0.7981651376146789,0.7411533420707732
JMG,0.7650602409638554,0.7846836491316216
MB,0.4690721649484536,0.4565124596740526
RH1,0.4264705882352941,0.4750049514755397
RH2,0.4246575342465753,0.3301012507444907
SG,0.4888888888888889,0.5131666666666667
WR,0.5242718446601942,0.49300956278883573
ZP,0.7861271676300579,0.7688498817928322
