Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std
attention,0.5860047644038017,0.21910498778821513,0.707634627321619,0.32101225487382734,0.5185378378993785,0.39224550596158597,0.4661976361167797,0.31656603326082183,0.5678816197832646,0.34091104101990827
cnn_lstm,0.6068791542760973,0.24120405028610906,0.5635037292774865,0.34555341990866717,0.6507547240864309,0.40655051017676214,0.5379243750603755,0.3393839633094196,0.7496763669815838,0.2797118048468191
gru,0.5931266598088489,0.24386872511462585,0.5412009460210149,0.3683343156517876,0.6290750970721357,0.3924955027705032,0.5278989813321763,0.33275945596053663,0.6898038655106736,0.33073005710124365
lstm,0.6122176537806687,0.1635954328203841,0.5905494243966777,0.38219417974898895,0.5374547634175113,0.4000513119427854,0.4746331655025693,0.3408996001034388,0.7721172696746768,0.260131934949633
