Model,Accuracy,Precision,Recall,F1
lstm,0.8076923076923077,0.8,0.8571428571428571,0.8275862068965517
gru,0.7307692307692307,0.7333333333333333,0.7857142857142857,0.7586206896551724
cnn_lstm,0.8076923076923077,0.8,0.8571428571428571,0.8275862068965517
attention,0.7692307692307693,0.7857142857142857,0.7857142857142857,0.7857142857142857
